Monitoring Location ID,Monitoring Location Name,Monitoring Location Latitude,Monitoring Location Longitude,Monitoring Location Type,Activity Start Date,Result Status,Characteristic Name,Method Speciation,Sample Fraction,Result Value,Result Unit
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,09-12-1990,Final,pH,,Total,8.6,None
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,09-12-1990,Final,"Temperature, water",,,23.4,deg C
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,09-12-1990,Final,Dissolved oxygen (DO),,Total,7.0,mg/l
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,09-12-1990,Final,"Depth, Secchi disk depth",,Total,0.1,m
4917520,UTAH LAKE 2 MI E OF SARATOGA SPRINGS #12,40.34216863,-111.8713257,Lake,09-12-1990,Final,pH,,Total,7.9,None
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,09-12-1990,Final,"Depth, Secchi disk depth",,Total,0.1,m
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,09-12-1990,Final,pH,,Total,8.9,None
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,09-12-1990,Final,Dissolved oxygen (DO),,Total,6.8,mg/l
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,09-12-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.084,mg/l
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,09-12-1990,Final,"Temperature, water",,,24.4,deg C
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,09-12-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,85.8,ug/l
4917710,UTAH LAKE 1 MI NE OF LINCOLN POINT #03,40.1577293,-111.7913255,Lake,09-12-1990,Final,pH,,Total,7.2,None
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,09-12-1990,Final,pH,,Total,8.6,None
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,09-12-1990,Final,Dissolved oxygen (DO),,Total,5.3,mg/l
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,09-12-1990,Final,"Temperature, water",,,21.5,deg C
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,09-12-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.048,mg/l
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,09-12-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,38.9,ug/l
4917770,UTAH LAKE  OUTSIDE ENTRANCE TO PROVO BAY,40.18856667,-111.7313142,Lake,09-12-1990,Final,pH,,Total,7.9,None
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,Dissolved oxygen (DO),,Total,6.1,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,pH,,Total,8.4,None
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.019,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,"Temperature, water",,,23.4,deg C
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,"Depth, Secchi disk depth",,Total,0.1,m
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,pH,,Total,8.7,None
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,15.6,ug/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.032,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,pH,,Total,8.6,None
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,Dissolved oxygen (DO),,Total,4.4,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,13.3,ug/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,pH,,Total,6.3,None
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,09-12-1990,Final,"Temperature, water",,,21.8,deg C
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,"Depth, Secchi disk depth",,Total,0.1,m
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.028,mg/l
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,pH,,Total,8.0,None
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,pH,,Total,8.8,None
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,"Temperature, water",,,26.2,deg C
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,Dissolved oxygen (DO),,Total,8.8,mg/l
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,21.8,ug/l
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,pH,,Total,8.7,None
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,pH,,Total,8.0,None
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,"Temperature, water",,,23.3,deg C
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.04,mg/l
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,53.1,ug/l
4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,40.32087284,-111.7775375,Lake,09-12-1990,Final,Dissolved oxygen (DO),,Total,6.9,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,10-02-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.042,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,10-02-1990,Final,"Temperature, water",,,16.8,deg C
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,10-02-1990,Final,pH,,Total,8.6,None
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,10-02-1990,Final,Phosphate-phosphorus,as P,Total,0.21,mg/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,10-02-1990,Final,"Chlorophyll a, uncorrected for pheophytin",,Total,40.3,ug/l
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,10-02-1990,Final,pH,,Total,8.2,None
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,10-02-1990,Final,"Depth, Secchi disk depth",,Total,0.1,m
4917390,UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR,40.23717289,-111.7646472,Lake,10-02-1990,Final,Dissolved oxygen (DO),,Total,8.0,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,Lake,10-02-1990,Final,Phosphate-phosphorus,as P,Dissolved,0.091,mg/l
